"UNITID","INSTNM","CITY","STABBR","ZIP","SCH_DEG","LOCALE","CCBASIC","CCUGPROF","CCSIZSET","ADM_RATE","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","UGDS","PPTUG_EF","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","INEXPFTE","C150_4","RET_FT4","C200_4_POOLED","PCTFLOAN","UG25ABV","DEP_STAT_PCT_IND","PAR_ED_PCT_1STGEN","GRAD_DEBT_MDN","AGE_ENTRY","FIRST_GEN","C100_4","ICLEVEL","TRANS_4_POOLED_SUPP","BOOKSUPPLY","ROOMBOARD_ON","OTHEREXPENSE_ON","ROOMBOARD_OFF","OTHEREXPENSE_OFF","OTHEREXPENSE_FAM","MDCOMP_ALL","STUFACR","MD_EARN_WNE_1YR","MD_EARN_WNE_4YR"
144005,"Chicago State University","Chicago","IL","60628-1598","3","11","18","7","9",0.4747,NA,NA,NA,NA,1496,0.3623,21945,11366,11204,29476,0.2099,0.4056,0.1965,0.5145,0.4953,0.614964926,0.4202453988,30625,28.718628215,0.4202453988,0.0494,1,0.4433,1800,8724,4451,8724,4451,4451,0.5937,10,36284,43410
144892,"Eastern Illinois University","Charleston","IL","61920","3","32","18","11","14",0.7174,20,21,21,NA,4616,0.1376,24506,12562,14930,8881,0.5074,0.7351,0.5628,0.3844,0.115,0.1843598055,0.3421643467,21500,21.899513776,0.3421643467,0.3451,1,0.3335,150,10548,2542,10062,2542,3372,0.5937,14,36775,45927
145336,"Governors State University","University Park","IL","60484","3","41","18","7","12",0.5205,19,19,18,6,2698,0.3858,20806,10108,17620,19040,0.1576,0.478,NA,0.4489,0.4588,0.5486645541,0.4261943103,18618,27.917609778,0.4261943103,0.0985,1,0.4295,1000,10729,3000,11638,3000,3000,0.5937,10,39258,49565
145600,"University of Illinois Chicago","Chicago","IL","60607","3","11","15","13","15",0.788,27,28,26,NA,22011,0.0955,24382,14126,28476,30679,0.6226,0.8127,0.6202,0.2922,0.0909,0.124157724,0.4439779965,16704,21.089593212,0.4439779965,0.3647,1,0,1400,12250,3400,12250,3400,3200,0.5937,19,43373,60411
145637,"University of Illinois Urbana-Champaign","Champaign","IL","61820-5711","3","13","15","14","16",0.5966,32,32,31,9,33889,0.0229,31102,15442,32892,17161,0.8488,0.9347,0.862,0.3183,0.0134,0.0373312153,0.2493020998,19500,19.852831045,0.2493020998,0.7138,1,0,1200,12494,2500,NA,NA,NA,0.5937,21,50616,68323
145813,"Illinois State University","Normal","IL","61790-1000","3","22","16","13","16",0.9154,24,24,23,NA,17632,0.0682,31753,15319,26843,8273,0.6727,0.832,0.7019,0.4982,0.0412,0.0801248699,0.2964350118,20482,20.548777315,0.2964350118,0.4784,1,0,830,10146,5856,8462,7200,5756,0.5937,19,43353,53765
147703,"Northern Illinois University","Dekalb","IL","60115-2828","3","23","16","13","16",0.7045,NA,NA,NA,7,11819,0.1544,26275,12478,12478,16652,0.5078,0.6747,0.4909,0.5031,0.1544,0.1979921001,0.3832968636,22162,21.941079658,0.3832968636,0.3056,1,0,1300,11000,2440,11000,2440,3440,0.5937,15,43293,54063
147776,"Northeastern Illinois University","Chicago","IL","60625-4699","3","11","18","5","12",0.6211,NA,NA,NA,NA,4547,0.4223,24339,12064,22155,19598,0.2139,0.608,0.2752,0.2354,0.4277,0.4043818466,0.5086887836,14600,24.794679186,0.5086887836,0.0453,1,0,2400,10742,6309,4212,6309,6309,0.5937,11,41333,50174
148654,"University of Illinois Springfield","Springfield","IL","62703-5407","3","12","18","7","10",0.7949,24,23,22,7,2441,0.2974,23892,11911,21526,12231,0.5341,0.6678,0.5517,0.4167,0.344,0.4645786726,0.3624382208,19128,25.824757644,0.3624382208,0.378,1,0,1200,10410,2700,NA,NA,3300,0.5937,12,42815,54111
149222,"Southern Illinois University-Carbondale","Carbondale","IL","62901-4512","3","13","16","11","14",0.9515,24,24,22,NA,7973,0.1539,29247,15240,15240,22052,0.4531,0.7522,0.4576,0.467,0.1966,0.2234062797,0.3525195024,21543,22.183824929,0.3525195024,0.3193,1,0,1100,10622,2941,10622,2941,2941,0.5937,10,40092,49119
149231,"Southern Illinois University-Edwardsville","Edwardsville","IL","62026-1259","3","21","17","13","16",0.9807,23,22,22,7,9903,0.185,24338,12219,12219,17873,0.5179,0.7409,0.5059,0.4291,0.1417,0.1863379143,0.3068748645,20500,21.766168149,0.3068748645,0.2976,1,0.329,933,9881,2974,9881,2974,2974,0.5937,15,44800,52692
149772,"Western Illinois University","Macomb","IL","61455","3","33","18","11","13",0.7248,NA,NA,NA,NA,5268,0.1317,25774,13669,13669,15926,0.5087,0.7185,0.4986,0.5576,0.163,0.1690242148,0.3770755222,25251,21.565811556,0.3770755222,0.3202,1,0.3318,1200,10192,2339,10192,4079,4079,0.5937,13,38698,48405
